id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_log,sale_year,house_age,was_renovated,yrs_since_update,dist_to_center_km,neighbor_avg_price,neighbor_price_std
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,12.309986615445004,2014,59,0,59,415.1477668342607,344727.2727272727,133232.19649100656
6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,13.195615697878251,2014,63,1,23,,391954.54545454547,62957.705860940696
5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,12.100717685412471,2015,82,0,82,,470510.0,131813.98888838265
2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,13.31133113254472,2014,49,0,49,566.377457524267,571062.5,189201.41148295606
1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,13.1421679654829,2015,28,0,28,,546250.0,126239.81299342687
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,12.458778882573531,2014,19,0,19,913.7901863204904,239922.22222222222,36820.6982476493
2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,12.583998677043748,2015,52,0,52,732.0289887702063,264712.5,63419.0302106327
2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,12.34366266577172,2015,55,0,55,522.0720620521112,226733.33333333334,68816.36342469718
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,12.685410698175234,2015,12,0,12,533.2940537487713,374987.5,68004.20548970273
1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,13.403777346275335,2015,50,0,50,,571365.5555555555,219211.5722943882
9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,13.056225711649638,2014,72,0,72,,626302.5,198519.05282796986
114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,12.644330802262578,2014,87,0,87,,487038.8888888889,194679.3032428232
6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,12.899222326086994,2014,37,0,37,,594250.0,148575.8584504418
1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,13.180634172318978,2015,115,0,115,,550087.5,177844.8074465889
